id,classgrp,grpa,grpb,grpc,grpd,grpe,grpf,grpg,grph,grpi,grpj,grpk,grpl,grpm,grpn,grpo,grp1a,grp1b,grp1c,grp1d,grp1e,grp1f,grp1g,grp1h,grp1i,grp1j,grp1k,grp1l,grp1m,grp1n,grp1o,grp2a,grp2b,grp2c,grp2d,grp2e,grp2f,grp2g,grp2h,grp2i,grp2j,grp2k,grp2l,grp2m,grp2n,grp2o,grp3a,grp3b,grp3c,grp3d,grp3e,grp3f,grp3g,grp3h,grp3i,grp3j,grp3k,grp3l,grp3m,grp3n,grp3o,grp4a,grp4b,grp4c,grp4d,grp4e,grp4f,grp4g,grp4h,grp4i,grp4j,grp4k,grp4l,grp4m,grp4n,grp4o,classid
5040151,1,5040150,5040133,5040144,5040145,5040104,5040126,,,,,,,,,,5040150,5040133,5040144,5040145,,,,,,,,,,,,5040104,5040126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50401
5040152,1,5040149,5040132,5040126,5040129,,,,,,,,,,,,5040134,5040138,5040122,,,,,,,,,,,,,5040116,5040109,5040106,,,,,,,,,,,,,5040133,5040145,5040144,,,,,,,,,,,,,5040136,5040137,5040119,5040147,,,,,,,,,,,,50401
5040201,,5040205,5040204,,,,,,,,,,,,,,5040249,5040204,5040246,5040248,5040218,5040202,,,,,,,,,,5040226,5040243,5040244,5040221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040202,1,5040246,5040218,5040225,,,,,,,,,,,,,5040226,5040209,5040247,5040241,,,,,,,,,,,,5040249,5040204,5040224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040203,1,5040222,5040241,,,,,,,,,,,,,,5040226,5040221,5040241,5040247,5040209,,,,,,,,,,,5040232,5040227,5040248,5040204,5040246,,,,,,,,,,,5040212,5040253,5040231,,,,,,,,,,,,,5040237,5040235,5040243,5040220,5040244,,,,,,,,,,,50402
5040204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040205,1,5040201,5040252,,,,,,,,,,,,,,5040226,5040209,,,,,,,,,,,,,,5040219,5040204,,,,,,,,,,,,,,5040223,5040237,,,,,,,,,,,,,,5040235,5040229,,,,,,,,,,,,,,50402
5040206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040207,1,5040221,5040226,5040237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040208,2,,,,,,,,,,,,,,,,5040205,5040201,5040252,5040208,,,,,,,,,,,,5040246,5040202,5040218,5040204,5040225,,,,,,,,,,,5040209,5040226,5040221,5040241,,,,,,,,,,,,5040249,5040248,5040228,,,,,,,,,,,,,50402
5040209,1,5040226,5040221,5040241,,,,,,,,,,,,,5040209,5040226,5040221,5040241,,,,,,,,,,,,5040212,5040247,5040231,5040203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040210,1,5040244,5040253,5040219,5040222,5040205,5040216,,,,,,,,,,5040237,5040239,5040244,5040245,5040220,5040223,5040207,,,,,,,,,5040226,5040221,5040241,5040209,5040247,,,,,,,,,,,5040250,5040201,,,,,,,,,,,,,,5040224,5040218,5040249,5040246,,,,,,,,,,,,50402
5040211,36,5040234,,,,,,,,,,,,,,,5040219,5040227,,,,,,,,,,,,,,5040204,5040234,,,,,,,,,,,,,,5040214,5040238,,,,,,,,,,,,,,5040249,5040217,,,,,,,,,,,,,,50402
5040212,,,,,,,,,,,,,,,,,5040247,5040221,5040203,,,,,,,,,,,,,5040253,5040222,,,,,,,,,,,,,,5040209,,,,,,,,,,,,,,,5040226,,,,,,,,,,,,,,,50402
5040213,1,5040204,,,,,,,,,,,,,,,5040213,5040251,5040216,,,,,,,,,,,,,5040213,5040207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040214,1,5040248,5040232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040215,1,5040241,5040226,5040209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040216,,,,,,,,,,,,,,,,,5040237,5040220,,,,,,,,,,,,,,5040216,5040220,,,,,,,,,,,,,,5040245,5040244,,,,,,,,,,,,,,5040216,5040244,,,,,,,,,,,,,,50402
5040217,2,,,,,,,,,,,,,,,,5040248,5040204,,,,,,,,,,,,,,5040202,5040234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040218,1,5040246,5040202,,,,,,,,,,,,,,5040246,5040225,5040255,5040240,,,,,,,,,,,,5040249,5040248,5040224,5040242,,,,,,,,,,,,5040225,5040202,5040246,,,,,,,,,,,,,5040224,5040249,5040248,5040215,5040224,5040242,,,,,,,,,,50402
5040219,1,5040211,5040227,,,,,,,,,,,,,,5040211,5040227,,,,,,,,,,,,,,5040240,5040224,5040255,,,,,,,,,,,,,5040253,5040226,,,,,,,,,,,,,,5040224,5040204,,,,,,,,,,,,,,50402
5040220,1,5040239,5040237,5040216,5040223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040221,,5040226,5040209,5040241,5040247,,,,,,,,,,,,5040221,5040226,5040209,5040247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040222,2,5040255,5040222,,,,,,,,,,,,,,5040255,5040203,,,,,,,,,,,,,,5040203,5040255,,,,,,,,,,,,,,5040253,5040203,,,,,,,,,,,,,,5040226,5040209,5040221,,,,,,,,,,,,,50402
5040223,1,5040237,5040235,5040245,5040239,,,,,,,,,,,,5040237,5040235,,,,,,,,,,,,,,5040235,5040239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040224,1,5040249,5040248,5040204,,,,,,,,,,,,,5040249,5040248,5040204,5040224,,,,,,,,,,,,5040209,5040226,5040241,5040221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040225,1,5040240,5040255,5040218,5040246,,,,,,,,,,,,5040226,5040209,5040221,5040241,,,,,,,,,,,,5040216,5040220,5040210,5040212,,,,,,,,,,,,5040229,5040233,5040235,,,,,,,,,,,,,5040228,5040232,5040248,,,,,,,,,,,,,50402
5040226,1,5040221,5040209,5040241,5040247,5040207,,,,,,,,,,,5040226,5040209,5040221,5040241,5040247,,,,,,,,,,,5040237,5040220,5040237,5040223,,,,,,,,,,,,5040248,5040232,5040228,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040227,1,5040240,5040219,5040211,,,,,,,,,,,,,5040240,5040219,5040211,,,,,,,,,,,,,5040204,5040249,5040248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040228,1,5040230,,,,,,,,,,,,,,,5040248,5040249,5040204,5040232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040229,1,5040233,5040243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040230,1,5040254,,,,,,,,,,,,,,,5040254,5040234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040231,1,5040253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040233,,5040229,5040243,5040235,5040254,5040230,,,,,,,,,,,5040243,5040229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040234,1,,,,,,,,,,,,,,,,5040246,5040218,5040249,5040204,,,,,,,,,,,,5040237,5040239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040235,1,5040237,5040233,5040223,,,,,,,,,,,,,5040237,5040223,,,,,,,,,,,,,,5040233,5040207,,,,,,,,,,,,,,5040228,5040230,5040217,,,,,,,,,,,,,5040232,5040248,,,,,,,,,,,,,,50402
5040236,1,5040219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040237,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040238,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040239,,5040237,5040245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040240,1,5040219,5040238,5040225,,,,,,,,,,,,,5040246,5040249,5040202,5040218,5040248,,,,,,,,,,,5040232,5040227,5040248,5040214,,,,,,,,,,,,5040226,5040209,5040221,5040241,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040241,,5040209,5040226,5040221,,,,,,,,,,,,,5040226,5040209,5040221,,,,,,,,,,,,,5040204,5040248,5040246,,,,,,,,,,,,,5040203,5040222,5040212,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040242,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040243,1,5040233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040244,1,5040237,5040220,,,,,,,,,,,,,,5040237,,,,,,,,,,,,,,,5040220,,,,,,,,,,,,,,,5040244,,,,,,,,,,,,,,,5040226,,,,,,,,,,,,,,,50402
5040245,1,,,,,,,,,,,,,,,,5040237,5040235,5040222,5040223,,,,,,,,,,,,5040220,5040237,5040235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040246,,5040202,5040225,5040218,5040240,5040204,,,,,,,,,,,5040202,5040204,,,,,,,,,,,,,,5040202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040247,1,5040226,5040221,5040253,,,,,,,,,,,,,5040226,5040221,5040241,5040247,,,,,,,,,,,,5040203,5040222,5040247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040248,1,5040232,5040249,,,,,,,,,,,,,,5040249,5040228,,,,,,,,,,,,,,5040224,5040219,,,,,,,,,,,,,,5040227,5040228,,,,,,,,,,,,,,5040215,5040214,,,,,,,,,,,,,,50402
5040249,,5040204,5040246,5040202,5040248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040250,1,5040201,5040205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040251,,,,,,,,,,,,,,,,,5040215,5040209,5040226,5040241,5040221,5040216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040252,1,5040201,5040205,,,,,,,,,,,,,,5040201,5040205,5040208,5040249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040253,,5040231,5040222,5040247,,,,,,,,,,,,,5040219,5040204,5040238,5040211,5040227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040254,1,5040203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040255,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50402
5040301,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040302,1,5040350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040303,1,5040343,5040316,5040339,5040305,,,,,,,,,,,,5040343,5040316,5040323,5040303,5040301,5040326,5040355,,,,,,,,,5040327,5040308,5040334,5040333,5040305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040304,1,5040348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040305,1,5040307,5040327,5040308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040306,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040308,1,5040327,5040322,,,,,,,,,,,,,,5040316,5040355,5040303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040309,1,5040311,5040348,5040341,,,,,,,,,,,,,5040348,5040341,,,,,,,,,,,,,,5040317,5040318,,,,,,,,,,,,,,5040337,5040316,,,,,,,,,,,,,,5040355,5040340,,,,,,,,,,,,,,50403
5040310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040311,1,5040309,5040302,5040329,5040328,,,,,,,,,,,,5040309,,,,,,,,,,,,,,,5040328,,,,,,,,,,,,,,,5040329,,,,,,,,,,,,,,,5040343,,,,,,,,,,,,,,,50403
5040312,1,5040306,5040352,5040329,,,,,,,,,,,,,5040343,5040301,5040323,5040326,5040303,5040315,5040356,5040355,5040328,,,,,,,5040319,5040344,5040325,5040330,5040321,5040345,5040317,,,,,,,,,5040308,5040322,5040327,5040339,5040305,5040307,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040313,1,5040309,5040302,5040306,,,,,,,,,,,,,5040345,5040302,5040306,5040351,5040332,,,,,,,,,,,5040345,5040332,,,,,,,,,,,,,,5040319,5040321,5040325,,,,,,,,,,,,,5040338,5040314,5040307,,,,,,,,,,,,,50403
5040314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040315,1,5040343,,,,,,,,,,,,,,,5040343,5040326,5040308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040316,1,5040303,5040343,5040315,5040323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040317,1,5040351,,,,,,,,,,,,,,,5040319,5040351,,,,,,,,,,,,,,5040311,5040329,,,,,,,,,,,,,,5040329,5040352,,,,,,,,,,,,,,5040344,5040319,,,,,,,,,,,,,,50403
5040318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040319,1,5040325,5040344,5040353,5040332,5040328,5040338,,,,,,,,,,5040319,5040325,5040344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040322,1,5040327,5040308,5040310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040324,2,,,,,,,,,,,,,,,,5040349,5040323,5040316,5040307,5040316,,,,,,,,,,,5040322,5040327,5040325,5040308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040325,1,5040319,5040330,5040338,,,,,,,,,,,,,5040307,5040327,5040343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040326,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040328,1,5040344,5040325,5040321,5040319,5040330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040329,1,5040352,5040350,5040306,5040312,5040311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040330,1,5040325,5040328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040334,1,5040331,5040317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040335,1,5040323,5040353,5040304,5040352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040336,1,5040331,5040338,,,,,,,,,,,,,,5040327,5040308,5040305,5040354,5040322,,,,,,,,,,,5040316,5040343,5040303,5040301,5040355,5040326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040337,36,,,,,,,,,,,,,,,,5040336,5040338,,,,,,,,,,,,,,5040331,5040349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040338,1,5040331,5040307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040340,1,5040346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040341,,5040348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040343,1,5040301,5040303,5040307,5040315,5040316,5040326,5040323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040344,1,5040319,5040325,5040330,5040350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040345,1,5040332,5040330,,,,,,,,,,,,,,5040325,5040319,5040330,5040344,5040321,,,,,,,,,,,5040352,5040329,5040350,5040335,5040348,5040304,,,,,,,,,,5040352,5040329,5040350,5040335,5040348,5040304,,,,,,,,,,5040343,5040326,5040303,5040316,5040301,5040315,5040323,,,,,,,,,50403
5040346,,,,,,,,,,,,,,,,,5040303,5040343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040348,1,5040304,5040328,5040343,5040341,5040335,5040344,5040340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040349,1,5040343,5040307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040350,1,5040302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040351,1,5040317,5040311,5040350,5040319,5040341,,,,,,,,,,,5040350,5040311,5040341,,,,,,,,,,,,,5040350,5040311,5040341,,,,,,,,,,,,,5040317,5040319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040352,1,5040329,5040312,5040306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040353,1,5040319,5040335,,,,,,,,,,,,,,5040319,5040344,5040325,5040353,,,,,,,,,,,,5040327,5040308,5040307,,,,,,,,,,,,,5040306,5040313,5040311,,,,,,,,,,,,,5040323,5040303,,,,,,,,,,,,,,50403
5040354,1,5040308,5040327,5040322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040355,1,5040343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040356,1,5040331,5040333,5040334,5040340,5040339,,,,,,,,,,,5040331,5040339,5040334,,,,,,,,,,,,,5040340,5040339,,,,,,,,,,,,,,5040308,5040327,5040346,5040333,5040334,,,,,,,,,,,,,,,,,,,,,,,,,,50403
5040401,1,5040403,,,,,,,,,,,,,,,5040412,5040409,5040444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040402,1,5040414,5040438,5040434,5040411,,,,,,,,,,,,5040438,5040434,5040411,5040422,,,,,,,,,,,,5040416,5040437,5040427,5040435,5040446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040403,1,5040401,5040432,5040414,5040434,5040427,5040423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040405,1,5040415,5040447,5040409,5040412,5040444,,,,,,,,,,,5040433,5040436,5040430,,,,,,,,,,,,,5040412,5040405,5040444,5040409,,,,,,,,,,,,5040416,5040437,5040405,5040435,,,,,,,,,,,,5040401,5040438,5040422,5040434,,,,,,,,,,,,50404
5040406,1,5040426,5040437,5040451,5040406,5040435,,,,,,,,,,,5040437,5040435,5040451,5040426,5040406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040408,,5040416,5040437,5040432,5040427,,,,,,,,,,,,5040427,5040437,5040416,5040432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040409,1,,5040412,5040444,,,,,,,,,,,,,5040412,5040444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040411,1,5040434,5040438,5040437,5040445,5040439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040412,1,5040409,5040444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040414,1,5040402,5040434,5040438,5040439,,,,,,,,,,,,5040438,5040402,5040418,5040411,5040439,,,,,,,,,,,5040438,5040434,5040402,5040411,5040439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040415,1,5040447,5040405,5040450,5040431,5040437,5040409,5040402,5040448,5040408,5040411,,,,,,5040404,5040447,,,,,,,,,,,,,,5040405,5040447,,,,,,,,,,,,,,5040437,5040409,5040444,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040416,1,5040435,5040405,5040437,5040425,5040432,,,,,,,,,,,5040416,5040435,5040437,5040427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040417,,,,,,,,,,,,,,,,,5040435,5040416,5040417,5040452,,,,,,,,,,,,5040409,5040408,5040419,5040452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50404
5040418,2,,,,,,,,,,,,,,,,5040401,5040403,5040412,,,,,,,,,,,,,5040409,5040405,5040444,,,,,,,,,,,,,5040416,5040437,5040451,,,,,,,,,,,,,5040445,5040439,,,,,,,,,,,,,,50404
5040419,1,5040451,,,,,,,,,,,,,,,5040404,5040406,5040417,5040425,5040437,5040451,,,,,,,,,,5040453,,,,,,,,,,,,,,,5040429,,,,,,,,,,,,,,,5040437,,,,,,,,,,,,,,,50404
